,Unnamed: 0,ADDRESS,zipcode,price,bedrooms,bathrooms,sqft_living,yr_built,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),lat,long,year,predict,predicton_diff
135,135,718 N 94th St Unit A,98103,512500,2,2.25,1110.0,1998.0,http://www.redfin.com/WA/Seattle/718-N-94th-St-98103/unit-A/home/98753,47.6970664,-122.3489611,2019,555198.6709379299,-42698.670937929885
1,1,155 Olympic Way,98030,525000,5,2.75,3060.0,1966.0,http://www.redfin.com/WA/Kent/155-Olympic-Way-98030/home/397693,47.3813742,-122.2234713,2019,570574.8006470907,-45574.800647090655
165,165,3032 SW Charlestown St Unit C,98126,684940,3,2.25,1927.0,2019.0,http://www.redfin.com/WA/Seattle/3032-SW-Charlestown-St-98126/unit-C/home/169749049,47.570111,-122.3721414,2019,732627.9571203523,-47687.95712035231
297,297,14002 3rd Ave NE #104,98019,519995,4,3.0,2043.0,2019.0,http://www.redfin.com/WA/Duvall/14002-3rd-Ave-NE-98019/unit-104/home/170132172,47.7298195,-121.9801669,2019,570132.8849450832,-50137.88494508318
286,286,1706 SW 307th St Unit B,98023,252900,2,1.0,1042.0,1981.0,http://www.redfin.com/WA/Federal-Way/1706-SW-307th-St-98023/unit-B/home/145808984,47.3265991,-122.3567654,2019,303484.06256843614,-50584.062568436144
277,277,29915 118th (Lot 152) Pl SE,98092,594950,4,2.75,3194.0,2019.0,http://www.redfin.com/WA/Auburn/29915-118th-Pl-SE-98092/home/22458325,47.3340883,-122.18386979999998,2019,646669.8314527009,-51719.83145270089
246,246,29414 123rd (Lot 16) Pl SE,98092,539950,4,2.75,2855.0,2019.0,http://www.redfin.com/WA/Auburn/29414-123rd-Pl-SE-98092/home/22495076,47.3383496,-122.1765943,2019,594424.0519691365,-54474.05196913646
15,15,1540 Cherrylane Ave S,98144,465000,2,2.0,1264.0,1997.0,http://www.redfin.com/WA/Seattle/1540-Cherrylane-Ave-S-98144/home/61017,47.5892159,-122.31227520000002,2019,519525.1583848939,-54525.158384893904
110,110,2122 S 371st St,98003,499950,4,2.5,2760.0,1992.0,http://www.redfin.com/WA/Federal-Way/2122-S-371st-St-98003/home/366477,47.2692998,-122.306506,2019,557292.9791065259,-57342.97910652589
114,114,25617 SE 390th St,98022,669000,3,2.0,2650.0,1978.0,http://www.redfin.com/WA/Enumclaw/25617-SE-390th-St-98022/home/293950,47.251271,-121.999914,2019,727123.1042298821,-58123.10422988213
262,262,411 NE 80th St,98115,1249000,4,4.0,2768.0,2019.0,http://www.redfin.com/WA/Seattle/411-NE-80th-St-98115/home/170149504,47.6868016,-122.3237439,2019,1312608.2383874778,-63608.23838747782
133,133,2421 NW 61st St Unit A,98107,699900,3,2.5,1358.0,2013.0,http://www.redfin.com/WA/Seattle/2421-NW-61st-St-98107/unit-A/home/45498067,47.67281,-122.388655,2019,763608.7335364999,-63708.7335364999
54,54,4700 242nd St SW,98043,550000,4,2.5,1638.0,1961.0,http://www.redfin.com/WA/Mountlake-Terrace/4700-242nd-St-SW-98043/home/2755012,47.7785709,-122.29646979999998,2019,614192.2982667513,-64192.29826675134
317,317,9248 S 240th Pl,98030,329000,3,2.25,1691.0,1989.0,http://www.redfin.com/WA/Kent/9248-S-240th-Pl-98030/home/170123805,47.3863208,-122.216706,2019,395697.60449059744,-66697.60449059744
70,70,22631 SE 271st St,98038,575000,4,3.0,3000.0,2005.0,http://www.redfin.com/WA/Maple-Valley/22631-SE-271st-St-98038/home/2089882,47.358685,-122.039432,2019,644481.903554592,-69481.90355459205
170,170,8819 C Midvale Ave N,98103,609999,3,1.75,1482.0,2019.0,http://www.redfin.com/WA/Seattle/8819-Midvale-Ave-N-98103/home/169606085,47.693007,-122.3427221,2019,679641.8017358065,-69642.80173580651
211,211,921 B 10th Ave E,98102,829000,2,1.75,1467.0,2019.0,http://www.redfin.com/WA/Seattle/921-10th-Ave-E-98102/home/135777,47.6275236,-122.3205223,2019,898990.7790056537,-69990.77900565369
108,108,31500 33rd Pl SW Unit H204,98023,220000,2,1.0,972.0,1990.0,http://www.redfin.com/WA/Federal-Way/31500-33rd-Pl-SW-98023/unit-H204/home/170194443,47.3201389,-122.3751633,2019,291338.8575386309,-71338.8575386309
339,339,10220 38th Ave SW,98146,465000,3,1.0,1210.0,1946.0,http://www.redfin.com/WA/Seattle/10220-38th-Ave-SW-98146/home/155144,47.5113563,-122.3802342,2019,539292.6455561272,-74292.64555612719
208,208,628 10th Ave E,98102,655000,2,1.75,1000.0,2019.0,http://www.redfin.com/WA/Seattle/628-10th-Ave-E-98102/home/170167247,47.6250461,-122.3196154,2019,732501.7084878195,-77501.70848781953
225,225,30639 122nd Ave SE,98092,499950,5,2.5,3110.0,2005.0,http://www.redfin.com/WA/Auburn/30639-122-Ave-SE-98092/home/2070620,47.326845,-122.1801327,2019,577497.9397675338,-77547.9397675338
158,158,1038 Washington Pl E,98112,1699980,3,2.25,2899.0,1997.0,http://www.redfin.com/WA/Seattle/1038-Washington-Pl-E-98112/home/139971,47.6284599,-122.29311,2019,1778945.8419216706,-78965.8419216706
50,50,412 11th Ave Ph -12,98122,438000,1,1.0,765.0,2002.0,http://www.redfin.com/WA/Seattle/412-11th-Ave-98122/unit-12/home/12091576,47.605844,-122.3177169,2019,517046.6113480444,-79046.61134804442
44,44,1111 E John St #8,98102,699000,2,1.75,1200.0,1981.0,http://www.redfin.com/WA/Seattle/1111-E-John-St-98102/unit-8/home/70201,47.6197599,-122.3178393,2019,778352.8175758225,-79352.81757582247
27,27,10106 Greenwood Ave N #203,98133,399000,2,1.75,979.0,1984.0,http://www.redfin.com/WA/Seattle/10106-Greenwood-Ave-N-98133/unit-203/home/86,47.7023783,-122.3550373,2019,479071.4180763736,-80071.41807637358
42,42,8553 85th Ave SE,98040,1000000,3,2.5,2164.0,1979.0,http://www.redfin.com/WA/Mercer-Island/8553-85th-Ave-SE-98040/home/257375,47.5259669,-122.22584,2019,1081755.8741414845,-81755.8741414845
53,53,27001 226th Ave SE,98038,599999,4,2.5,3190.0,2005.0,http://www.redfin.com/WA/Maple-Valley/27001-226th-Ave-SE-98038/home/2085508,47.3596995,-122.0404608,2019,684587.0342279787,-84588.03422797867
212,212,6700 NE 182nd St Unit D-201,98028,325000,2,1.75,924.0,1989.0,http://www.redfin.com/WA/Kenmore/6700-NE-182nd-St-98028/unit-D201/home/11904316,47.7621027,-122.2511185,2019,410270.93323780916,-85270.93323780916
214,214,13707 SW 244th St,98070,440000,3,2.0,1196.0,2016.0,http://www.redfin.com/WA/Vashon/13707-SW-244th-St-98070/home/22230504,47.3852855,-122.5117949,2019,527110.8601524216,-87110.86015242164
20,20,747 Belmont Pl E Unit 301A,98102,595000,2,1.0,890.0,1962.0,http://www.redfin.com/WA/Seattle/747-Belmont-Pl-E-98102/unit-301A/home/60895,47.6269163,-122.32459640000002,2019,684375.3377257774,-89375.33772577741
93,93,12724 42nd Ave NE,98125,1299950,5,4.0,3580.0,1956.0,http://www.redfin.com/WA/Seattle/12724-42nd-Ave-NE-98125/home/319546,47.7218378,-122.2822765,2019,1390312.805166823,-90362.80516682309
101,101,23232 26th Ave S,98188,349950,4,1.5,1910.0,1956.0,http://www.redfin.com/WA/Des-Moines/23232-26th-Ave-S-98198/home/202774,47.3928041,-122.2999567,2019,443114.6955445735,-93164.69554457348
274,274,23710 SE 243rd St,98038,639950,4,2.5,3120.0,2004.0,http://www.redfin.com/WA/Maple-Valley/23710-SE-243rd-St-98038/home/375736,47.3850272,-122.0253097,2019,736625.9465511693,-96675.94655116927
36,36,15150 140th Way SE Unit K103,98058,299950,2,2.5,1447.0,2000.0,http://www.redfin.com/WA/Renton/15150-140th-Way-SE-98058/unit-K103/home/62784,47.4672569,-122.1538619,2019,396645.37231408764,-96695.37231408764
309,309,27431 14th (Lot 53) Pl S,98198,594990,5,3.0,2943.0,2019.0,http://www.redfin.com/WA/Des-Moines/27431-14th-Lot-53-PL-S-98198/home/170128127,47.355815,-122.31418,2019,693097.7238885716,-98107.7238885716
181,181,12407 10th Ln SW,98146,383000,3,3.0,1993.0,2006.0,http://www.redfin.com/WA/Seattle/12407-10th-Ln-SW-98146/unit-B/home/56864758,47.4918966,-122.3481053,2019,486956.1713242699,-103956.1713242699
145,145,35907 14th Pl S,98003,325000,3,1.75,1960.0,1980.0,http://www.redfin.com/WA/Federal-Way/35907-14th-Pl-S-98003/home/360223,47.2796586,-122.3154601,2019,429278.7033337539,-104278.70333375392
196,196,4217 Fremont Ave N #3,98103,678000,2,1.75,1231.0,2007.0,http://www.redfin.com/WA/Seattle/4217-Fremont-Ave-N-98103/unit-3/home/12307105,47.6582155,-122.35034840000002,2019,782662.3848093846,-104662.38480938459
78,78,8216 SW Quartermaster Dr,98070,699000,3,1.0,2280.0,1910.0,http://www.redfin.com/WA/Vashon/8216-SW-Quartermaster-Dr-98070/home/524135,47.4066409,-122.4380265,2019,804797.2625193798,-105797.26251937984
256,256,12420 74th Ln S #6,98178,235000,3,1.5,1245.0,1980.0,http://www.redfin.com/WA/Tukwila/12420-74th-Ln-S-98178/unit-6/home/170155708,47.4926885,-122.2417225,2019,341481.69483575,-106481.69483574998
233,233,1425 S Puget Dr Unit G3,98055,164000,1,1.5,800.0,1968.0,http://www.redfin.com/WA/Renton/1425-S-Puget-Dr-98055/unit-G3/home/27093,47.4602984,-122.199907,2019,271569.15310203924,-107569.15310203924
139,139,25330 161st Ave SE,98042,499000,4,2.5,3080.0,2003.0,http://www.redfin.com/WA/Covington/25330-161st-Ave-SE-98042/home/394640,47.3743109,-122.1266461,2019,609461.4484889003,-110461.44848890032
138,138,925 B 10th Ave E,98102,700000,2,1.75,1192.0,2019.0,http://www.redfin.com/WA/Seattle/925-10th-Ave-E-98102/home/135776,47.6276481,-122.3205353,2019,810529.9468456636,-110529.9468456636
49,49,515 R St NE,98002,389000,5,2.0,2900.0,1947.0,http://www.redfin.com/WA/Auburn/515-R-St-NE-98002/home/218066,47.3130925,-122.20864840000002,2019,501758.8786557863,-112758.87865578628
56,56,9348 54th Ave S,98118,435000,4,1.0,2310.0,1907.0,http://www.redfin.com/WA/Seattle/9348-54th-Ave-S-98118/home/176689,47.5175657,-122.2648343,2019,548425.9565860409,-113425.9565860409
17,17,11570 Stone Ave N #101,98133,385000,2,2.25,1221.0,2000.0,http://www.redfin.com/WA/Seattle/11570-Stone-Ave-N-98133/unit-101/home/103956773,47.71395029999999,-122.3419371,2019,499235.76285499014,-114235.76285499014
202,202,750 11th Ave E #205,98102,438950,1,1.0,525.0,2018.0,http://www.redfin.com/WA/Seattle/750-11th-Ave-E-98102/unit-205/home/170168921,47.6266216,-122.3176642,2019,555102.5959065974,-116152.59590659745
26,26,32623 3rd Pl S Unit 2C,98003,275000,3,1.25,1440.0,1981.0,http://www.redfin.com/WA/Federal-Way/32623-3rd-Pl-S-98003/unit-2C/home/15412,47.310126,-122.331145,2019,396472.04518363636,-121472.04518363636
45,45,31712 42nd Ave SW,98023,439999,3,1.75,2870.0,1974.0,http://www.redfin.com/WA/Federal-Way/31712-42nd-Ave-SW-98023/home/354405,47.3172744,-122.3854215,2019,563158.1107361589,-123159.11073615891
51,51,5641 402nd Ave SE,98065,1670340,4,3.75,4350.0,2001.0,http://www.redfin.com/WA/Snoqualmie/5641-402nd-Ave-SE-98065/home/483963,47.549876,-121.808291,2019,1798481.3488907057,-128141.34889070573
244,244,1377 Eagles Nest Pl SE #057,98045,830995,4,2.75,3266.0,2019.0,http://www.redfin.com/WA/North-Bend/1377-Eagles-Nest-Pl-SE-98045/unit-057/home/170153662,47.4762383,-121.7352392,2019,960666.5886213903,-129671.58862139028
7,7,9039 NE Juanita Dr #307,98034,590000,2,2.5,1360.0,1986.0,http://www.redfin.com/WA/Kirkland/9039-NE-Juanita-Dr-98034/unit-307/home/72788,47.7043581,-122.2199275,2019,721566.9246100453,-131566.92461004527
77,77,17108 SE 329th St,98092,615000,3,3.75,3186.0,1987.0,http://www.redfin.com/WA/Auburn/17108-SE-329th-St-98092/home/379583,47.30679600000001,-122.1141308,2019,752111.729423168,-137111.729423168
284,284,1106 108th Ave NE #203,98004,798500,1,1.75,1251.0,2001.0,http://www.redfin.com/WA/Bellevue/1106-108th-Ave-NE-98004/unit-203/home/34923,47.62029,-122.1959436,2019,935657.9333284033,-137157.93332840328
30,30,7034 NE 153rd Pl,98028,869000,4,3.0,3240.0,1978.0,http://www.redfin.com/WA/Kenmore/7034-NE-153rd-Pl-98028/home/275658,47.7399948,-122.2463341,2019,1006237.8227290194,-137237.82272901945
33,33,2431 7th Ave W,98119,1136000,5,2.0,2480.0,1906.0,http://www.redfin.com/WA/Seattle/2431-7th-Ave-W-98119/home/130719,47.6405322,-122.36659679999998,2019,1273737.066229309,-137737.06622930896
270,270,10251 NE 30th Pl,98004,2799000,4,3.5,4560.0,2006.0,http://www.redfin.com/WA/Bellevue/10251-NE-30th-Pl-98004/home/506459,47.6375969,-122.2023764,2019,2937923.611933033,-138923.61193303298
75,75,750 11th Ave E #308,98102,395000,1,1.0,492.0,2018.0,http://www.redfin.com/WA/Seattle/750-11th-Ave-E-98102/unit-308/home/164431711,47.6266216,-122.3176642,2019,539673.6909159257,-144673.69091592566
40,40,1707 NW 59th St #201,98107,450000,2,1.75,838.0,1996.0,http://www.redfin.com/WA/Seattle/1707-NW-59th-St-98107/unit-201/home/18543,47.67140560000001,-122.3793206,2019,603154.5843649921,-153154.5843649921
68,68,23111 NE 8th St Unit B2-4,98074,859900,4,3.75,2573.0,2020.0,http://www.redfin.com/WA/Sammamish/23111-NE-8th-St-98074/unit-B2-4/home/170195711,47.6164933,-122.0305392,2019,1014008.0772603014,-154108.07726030145
74,74,712 23rd Ave,98122,1194500,3,3.5,2892.0,2013.0,http://www.redfin.com/WA/Seattle/712-23rd-Ave-98122/home/22677122,47.6084803,-122.3024057,2019,1349118.8858861583,-154618.88588615833
91,91,32742 NE 52nd St,98014,749950,5,3.5,3701.0,2017.0,http://www.redfin.com/WA/Carnation/32742-NE-52nd-St-98014/home/106724052,47.6531474,-121.9024711,2019,906747.1724225137,-156797.17242251371
349,349,901 NE 43rd St #106,98105,365000,1,1.0,480.0,1926.0,http://www.redfin.com/WA/Seattle/901-NE-43rd-St-98105/unit-106/home/12536699,47.6592474,-122.3185049,2019,522061.10512313485,-157061.10512313485
46,46,3901 243rd Pl SE Unit O-304,98021,255000,1,1.0,739.0,1997.0,http://www.redfin.com/WA/Bothell/3901-243rd-Pl-SE-98021/unit-O304/home/11884597,47.7771979,-122.1774966,2019,413268.85990981356,-158268.85990981356
