,ADDRESS,zipcode,price,bedrooms,bathrooms,sqft_living,yr_built,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),lat,long
302,16900 SE 140th St,98059,175000,0,,,,http://www.redfin.com/WA/Renton/16900-SE-140th-St-98059/home/170131142,47.4771452,-122.11521979999999
303,1564 Cedar Butte Ave SE #1014,98045,871900,4,2.75,3069.0,2019.0,http://www.redfin.com/WA/Tanner/1564-Cedar-Butte-Ave-SE-98045/unit-1014/home/170130801,47.477573,-121.76718500000001
304,1018 S 295th Pl,98003,898000,4,3.0,3740.0,1951.0,http://www.redfin.com/WA/Federal-Way/1018-S-295th-Pl-98003/home/347608,47.3386855,-122.32103810000001
305,25739 135th Ave SE #71,98042,75000,2,1.0,980.0,1977.0,http://www.redfin.com/WA/Kent/25739-135th-Ave-SE-98042/unit-71/home/21686685,47.370340500000005,-122.16301770000001
306,10616 53rd Ave S,98178,450000,0,,,,http://www.redfin.com/WA/Seattle/10616-53rd-Ave-S-98178/home/178829,47.505596000000004,-122.267082
307,206 Oakesdale Ave SW,98057,494950,3,2.5,1920.0,1988.0,http://www.redfin.com/WA/Renton/206-Oakesdale-Ave-SW-98057/home/196616,47.481747999999996,-122.23098329999999
308,28131 144th Ave SE,98042,720000,3,2.0,1440.0,1979.0,http://www.redfin.com/WA/Kent/28131-144th-Ave-SE-98042/home/2076197,47.349207299999996,-122.15057560000001
309,27431 14th (Lot 53) Pl S,98198,594990,5,3.0,2943.0,2019.0,http://www.redfin.com/WA/Des-Moines/27431-14th-Lot-53-PL-S-98198/home/170128127,47.355815,-122.31418000000001
310,30503 52nd Ave S,98001,219999,0,,,,http://www.redfin.com/WA/Auburn/30503-52nd-Ave-S-98001/home/2085264,47.3287826,-122.2702469
311,218th,98002,219950,0,,,,http://www.redfin.com/WA/Auburn/218th-98002/home/170127586,47.287207,-122.04989199999999
312,1085 103rd NE #317,98004,658000,1,1.0,675.0,2018.0,http://www.redfin.com/WA/Bellevue/1085-103rd-Ave-NE-98004/unit-317/home/170127497,47.6199797,-122.20341869999999
313,957 Riley Dr E,98022,401900,3,2.5,1800.0,2019.0,http://www.redfin.com/WA/Enumclaw/957-Riley-Dr-E-98022/home/170127270,47.192777899999996,-121.96908300000001
314,23304 12th Pl S #4,98198,784950,4,3.25,2784.0,2020.0,http://www.redfin.com/WA/Des-Moines/23304-12th-Pl-S-98198/unit-4/home/170124802,47.392845,-122.3174601
315,11330 E Riverside Dr #21,98011,49999,0,,780.0,1967.0,http://www.redfin.com/WA/Bothell/11330-E-Riverside-Dr-98011/unit-21/home/22057390,47.7531706,-122.1889956
316,618 SW 100th St,98106,504800,2,1.75,1238.0,2019.0,http://www.redfin.com/WA/Seattle/618-SW-100th-St-98106/home/170127969,47.513735100000005,-122.34244029999999
317,9248 S 240th Pl,98030,329000,3,2.25,1691.0,1989.0,http://www.redfin.com/WA/Kent/9248-S-240th-Pl-98030/home/170123805,47.3863208,-122.216706
318,27538 254th Way SE,98038,749000,4,2.5,3230.0,2006.0,http://www.redfin.com/WA/Maple-Valley/27538-254th-Way-SE-98038/home/2092232,47.354240000000004,-122.0041885
319,24216 SE 106th Pl,98027,374000,0,,,,http://www.redfin.com/WA/Issaquah/24216-SE-106th-Pl-98027/home/145835211,47.506907700000006,-122.02023259999999
320,10223 NE 22nd Pl,98004,3568000,6,4.5,5320.0,2019.0,http://www.redfin.com/WA/Bellevue/10223-NE-22nd-Pl-98004/home/506561,47.6302944,-122.20423980000001
321,11111 SW 112th Pl,98070,250000,0,,,,http://www.redfin.com/WA/Vashon/11111-SW-112th-St-98070/home/18753661,47.5056397,-122.47307759999998
322,25732 W Lk Wilderness Dr SE,98038,600000,3,1.0,1090.0,1954.0,http://www.redfin.com/WA/Maple-Valley/25732-W-Lake-Wilderness-Dr-SE-98038/home/371001,47.3710216,-122.03746509999998
323,988 9th Ave S,98033,1995000,4,3.75,3000.0,2019.0,http://www.redfin.com/WA/Kirkland/988-9th-Ave-S-98033/home/22465569,47.6688635,-122.19125600000001
324,6311 Fauntleroy Way SW,98136,729000,0,,,,http://www.redfin.com/WA/Seattle/6311-Fauntleroy-Way-SW-98136/home/471400,47.5463036,-122.38360619999999
325,13848 29th Ave S,98168,649950,4,2.75,1820.0,1952.0,http://www.redfin.com/WA/SeaTac/13848-29th-Ave-S-98168/home/190533,47.4783015,-122.2955551
326,1258 Maple Dr,98022,42500,3,2.0,1258.0,1985.0,http://www.redfin.com/WA/Enumclaw/1258-Maple-Dr-98022/home/103505947,47.195907500000004,-121.9918568
327,5775 Highland Dr,98006,1490000,5,3.75,4020.0,1983.0,http://www.redfin.com/WA/Bellevue/5775-Highland-Dr-98006/home/235547,47.5513245,-122.15783470000001
328,NE Big Rock Rd,98019,724950,0,,,,http://www.redfin.com/WA/Duvall/NE-Big-Rock-Rd-Unknown/home/49674555,47.720001,-121.95754299999999
329,15267 150th Ln SE,98058,175000,0,,,,http://www.redfin.com/WA/Renton/15267-150th-Ln-SE-98058/home/22471918,47.4660835,-122.1401095
330,20615 87th Ave SW,98070,230000,2,1.0,840.0,1990.0,http://www.redfin.com/WA/Vashon/20615-Vashon-Ave-98070/home/2059867,47.418627799999996,-122.44575890000002
331,1321 Seneca St #1004,98101,560000,1,0.75,648.0,2016.0,http://www.redfin.com/WA/Seattle/1321-Seneca-St-98101/unit-1004/home/103782586,47.6118651,-122.32312250000001
332,17402 84th Ave NE,98028,1149950,3,1.5,2030.0,1977.0,http://www.redfin.com/WA/Kenmore/17402-84th-Ave-NE-98028/home/283121,47.7527497,-122.22893020000001
333,1772 19th Ave S,98144,1700000,0,,,,http://www.redfin.com/WA/Seattle/1772-19th-Ave-S-98144/home/168903,47.5870834,-122.30798119999999
334,1711 Index Ave NE,98056,769950,4,4.0,1750.0,1943.0,http://www.redfin.com/WA/Renton/1711-Index-Ave-NE-98056/home/170113589,47.5076584,-122.1824253
335,39019 186th Ave SE,98092,399900,0,,,,http://www.redfin.com/WA/Auburn/39019-186th-Ave-SE-98092/home/144453802,47.2541973,-122.0946009
336,214 SW 96th Ln,98106,752900,4,2.5,2528.0,2020.0,http://www.redfin.com/WA/Seattle/214-SW-96th-Ln-98106/home/170111884,47.542148,-122.353812
337,218 SW 96th Ln,98126,759900,5,2.5,2726.0,2020.0,http://www.redfin.com/WA/Seattle/218-SW-96th-Ln-98106/home/170111883,47.516462,-122.34371100000001
338,1942 S Lander St,98144,615999,3,1.75,1600.0,1904.0,http://www.redfin.com/WA/Seattle/1942-S-Lander-St-98144/home/169300,47.579763899999996,-122.30690729999999
339,10220 38th Ave SW,98146,465000,3,1.0,1210.0,1946.0,http://www.redfin.com/WA/Seattle/10220-38th-Ave-SW-98146/home/155144,47.511356299999996,-122.38023419999999
340,6706 Quigley Ave SE,98065,779000,6,2.75,2770.0,2006.0,http://www.redfin.com/WA/Snoqualmie/6706-Quigley-Ave-SE-98065/home/8189421,47.540794500000004,-121.8861294
341,5204 23rd Ave SW,98106,180000,0,,,,http://www.redfin.com/WA/Seattle/5204-23rd-Ave-SW-98106/home/143862338,47.555287400000005,-122.3616729
342,1201 25th Ave E,98112,1250000,3,1.75,1160.0,1915.0,http://www.redfin.com/WA/Seattle/1201-25th-Ave-E-98112/home/145751,47.6303974,-122.30066229999998
343,1320 E James St,98031,350000,0,,,,http://www.redfin.com/WA/Kent/1320-E-James-St-98031/home/397847,47.386533,-122.21710300000001
344,S Hanford St,98144,195000,0,,,,http://www.redfin.com/WA/Seattle/S-Hanford-St-98144/home/170107136,47.575307,-122.317177
345,42011 SE 167th St,98045,424900,3,1.0,1230.0,1980.0,http://www.redfin.com/WA/North-Bend/42011-SE-167th-St-98045/home/487676,47.4494494,-121.77989550000001
346,38111 Enumclaw Franklin Rd SE,98022,59950,0,,,,http://www.redfin.com/WA/Enumclaw/38111-Enumclaw-Franklin-Rd-SE-98022/home/166751363,47.2643729,-121.98158149999999
347,4252 NE 74th St,98115,1690000,3,2.5,2494.0,1957.0,http://www.redfin.com/WA/Seattle/4252-NE-74th-St-98115/home/316943,47.68247879999999,-122.2814764
348,2500 S 370th St #266,98003,89500,3,1.75,1867.0,1980.0,http://www.redfin.com/WA/Federal-Way/2500-S-370th-St-98003/unit-266/home/56975301,47.271061200000005,-122.30069350000001
349,901 NE 43rd St #106,98105,365000,1,1.0,480.0,1926.0,http://www.redfin.com/WA/Seattle/901-NE-43rd-St-98105/unit-106/home/12536699,47.6592474,-122.31850490000001
