,ADDRESS,zipcode,price,bedrooms,bathrooms,sqft_living,yr_built,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),lat,long
59,3641 134th Ave NE,98005,4498000,5,5.5,7435.0,2019.0,http://www.redfin.com/WA/Bellevue/3641-134th-Ave-NE-98005/home/429861,47.643664,-122.16321
60,11122 SE 164 St,98055,1150000,8,4.0,4330.0,1953.0,http://www.redfin.com/WA/Renton/11122-SE-164th-St-98055/home/228250,47.4574534,-122.19177979999999
61,3910 S Hudson St Unit B,98118,849500,3,2.0,1438.0,2020.0,http://www.redfin.com/WA/Seattle/3910-S-Hudson-St-98118/unit-B/home/160615642,47.5572592,-122.2828712
62,17632 190th Ave SE,98058,1099000,4,3.0,3421.0,2019.0,http://www.redfin.com/WA/Renton/17632-190th-Ave-SE-98058/home/22485524,47.443446,-122.087053
63,21787 240th Pl SE,98038,1150000,4,3.5,3721.0,2020.0,http://www.redfin.com/WA/Maple-Valley/21787-240th-Pl-SE-98038/home/169270530,47.406825899999994,-122.02078629999998
64,14400 SE 40th St,98006,1699950,5,3.75,3360.0,2019.0,http://www.redfin.com/WA/Bellevue/14400-SE-40th-St-98006/home/106725522,47.574958,-122.14808500000001
65,7013 42nd Ave S,98118,599950,3,2.5,1470.0,2019.0,http://www.redfin.com/WA/Seattle/7013-42nd-Ave-S-98118/home/170196056,47.5392997,-122.28128600000001
66,12502 Riviera Pl NE,98125,1880000,4,2.75,2950.0,1925.0,http://www.redfin.com/WA/Seattle/12502-Riviera-Pl-NE-98125/home/319577,47.7192691,-122.27939620000001
67,12304 E 87th Ct NE,98034,2099000,4,3.25,4060.0,2012.0,http://www.redfin.com/WA/Kirkland/12304-87th-Ct-NE-98034/home/39904414,47.7103828,-122.22484009999998
68,23111 NE 8th St Unit B2-4,98074,859900,4,3.75,2573.0,2020.0,http://www.redfin.com/WA/Sammamish/23111-NE-8th-St-98074/unit-B2-4/home/170195711,47.616493299999995,-122.03053919999999
